"300833","20860"
"300834","432"
"300835","29812"
"300836","14606"
"300837","34509"
"300838","38666"
"300839",""
"300842",""
"300843","8155"
"300844","13646"
"300845","20860"
"300846","11996"
"300847","3354"
"300850","20734"
"300851","1508"
"300853","5445"
"300856","5022"
"300857","13"
"300859","10651"
"300860","13422"
"300861","36545"
"300863","32238"
"300864","25188"
"300865","10755"
"300866","17138"
"300868","3415"
"300869","1659"
"300870","10755"
"300872","38787"
"300873","26394"
"300874","19165"
"300875","23705"
"300877","446497"
"300878","13144"
"300879","15124"
"300880","34509"
"300883","24389"
"300884","24954"
"300885","1195872"
"300886","3937"
"300887","38799"
"300889","9815"
"300890","12950"
"300892","26394"
"300893","3631"
"300894","23771"
"300896","12950"
"300897",""
"300898","32004"
"300899","26630"
"300901","8709"
"300902","1935"
"300903","188"
"300904","12950"
"300905","10651"
"300906","20186"
"300908","31325"
"300910","25381"
"300912","3742"
"300913","6637"
"300914","279"
"300915","26394"
"300916","2147"
"300917","279"
"300922","36305"
"300924","26394"
"300927","2147"
"300928","3415"
"300930","14065"
"300932","12950"
"300934","36866"
"300936","14167"
"300939","36384"
"300942","36384"
"300944","9021"
"300945","29157"
"300948","52490"
"300953","22033"
"300955","24954"
"300956","23935"
"300959","30181"
"300960","38809"
"300962","14860"
"300963","23935"
"300964","5007"
"300966","12950"
"300968","15578"
"300969","10784"
"300970","30816"
"300972","24954"
"300973","25050"
"300974","52490"
"300977","5697"
"300980","14607"
"300981","10784"
"300982","9328"
"300991","7104"
"300992","36305"
"300994","34509"
"300995","30333"
"300996","30546"
"300997","23771"
"300998","10784"
"301001","19405"
"301003","37992"
"301005","29640"
"301006","11124"
"301007","13675"
"301009","3957"
"301010","27715"
"301011","1695"
"301014","22419"
"301015","24279"
"301016",""
"301017","1677"
"301019","5019"
"301020","5903"
"301022","13675"
"301023","1891"
"301029","34588"
"301030","33952"
"301031","23705"
"301033","9345"
"301034","30966"
"301040","4965"
"301044","23705"
"301047","23235"
"301049","30966"
"301050","6309"
"301052","28243"
"301056","23670"
"301058","4965"
"301059","14122"
"301062","12950"
"301063","16076"
"301064","432"
"301065","34509"
"301067","811"
"301070","14033"
"301071",""
"301075","14122"
"301076","1057"
"301077","38825"
"301079","38825"
"301081","20087"
"301082","15168"
"301083","821"
"301084","23574"
"301086","32187"
"301087","11142"
"301088","16076"
"301089","22917"
"301096","30826"
"301097","15168"
"301098","12711"
"301101","26836"
"301102","23574"
"301105",""
"301106","30461"
"301107","22917"
"301111","9530"
"301112","35894"
"301119","12950"
"301120","14440"
"301121","38795"
"301122","32187"
"301123","36397"
"301124","3295"
"301125","34537"
"301126","14606"
"301127","38825"
"301130","1958"
"301135","16855"
"301136","35894"
"301138","1398"
"301139","893"
"301140","927"
"301141","15459"
